rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,663,487,1150,729,62066,0,61337,0,729,0,0,0,0,0,508,0
1,1,False,True,663,487,1150,701,62066,28,61337,0,701,12,8,0,4,8,508,0
2,2,False,True,663,487,1150,664,62066,65,61337,0,664,28,18,0,10,18,508,0
3,3,False,True,663,487,1150,646,62066,83,61337,0,646,34,22,0,12,22,508,0
4,4,False,True,663,487,1150,622,62066,107,61337,0,622,39,27,0,12,25,508,0
5,5,False,True,663,487,1150,595,62066,134,61337,0,595,50,35,0,15,33,508,0
6,6,False,True,663,487,1150,568,62066,161,61337,0,568,58,41,0,17,39,508,0
7,7,False,True,663,487,1150,542,62066,187,61337,0,542,65,48,0,17,45,508,0
8,8,False,True,663,487,1150,516,62066,212,61337,1,516,73,55,0,18,52,508,0
9,9,False,True,663,487,1150,494,62066,229,61337,6,494,77,61,0,16,53,508,0
10,10,False,True,663,487,1150,484,62066,234,61337,11,484,78,62,0,16,55,508,0
inf,inf,False,True,663,487,1150,0,62066,592,61337,137,0,148,116,0,32,87,508,0
